Position über Netzwerk ermitteln,1165.6919316040066,17.191992751709975
GPS Signal nicht verfügbar,902.0069326844532,26.480726131204406
Kartendaten,184.5337534984726,291.59127052134806
Position der nächsten PSSycles laden,1322.6847595322251,312.0054734205896
Conjunction,1203.9954050963129,545.3906445535687
Position über GPS ermitteln,1329.7729120803624,25.038201482728727
Positionsdaten geladen,465.6960917895832,375.7683446938514
Positionsdaten,47.96374428171864,538.036064297435
GPS Modul,226.30014446535276,47.569714157925446
Karte geladen,693.739616675032,534.7951105543927
Conjunction,704.9813966973486,204.26384832747985
GPS Signal verfügbar,988.0217281462005,39.78529983134824
GPS Signal suchen,1344.7870883066923,113.83475360743117
Conjunction,739.7612393323062,44.60235004562528
PSSycle Server,64.85693150137429,243.2351973159615
App gesartet,474.41588891521855,174.09331650567674
Nächste PSSycles auf Karte anzeigen,1272.3367612593197,674.9572670227625
Position ermittelt,1178.9241227569646,365.5625119371261
Conjunction,383.38004716056804,536.8077799716257
Vorgang abgeschlossen,563.2384046785324,548.3687842297849
Karte laden,1312.701921513708,422.6846788955545
